日期	金风科技	吉祥航空	保利地产
20200303	-0.011943183	0.008764298	-0.004804814
20200304	-0.001850139	0.030930301	0.011969024
20200305	0.03993271	0.024238546	0.013589574
20200306	-0.025226563	-0.027628379	-0.032809385
20200309	-0.042877024	0.0143281	-0.019596463
20200310	0.012304935	-0.004192878	0.013513719
20200311	-0.011353007	0.017493157	-0.008578484
20200312	-0.0279806	-0.03615358	0.008578484
20200313	-0.028786107	-0.034846731	-0.017231196
20200316	-0.040066993	-0.049056157	-0.052241177
20200317	-0.037377549	-0.019746763	-0.013166747
20200318	0.004343112	-0.042683492	-0.045416141
20200319	-0.005431844	-0.029162449	-0.029558802
20200320	0.028987537	0.042942194	0.034401427
20200323	-0.034449047	-0.059403471	-0.028703406
20200324	0.011976191	0.025603037	0.030771659
20200325	0.072018592	0.039648404	0.043792784
20200326	-0.024466052	-0.00878483	-0.003301423
20200327	0.00411947	-0.014815086	0.008561132
20200330	-0.020769179	-0.011005614	-0.003284075
20200331	-0.003152919	0.006018072	-0.021949667
20200401	-0.001053186	-0.017146159	0.006702438
20200402	0.004206105	0.01414165	0.007984074
20200403	0.002096437	-0.012109129	-0.003984069
20200407	0.035993603	0.012109129	0.008612176
20200408	0.020000667	0.023787048	0.000659413
20200409	-0.007952328	-0.005893927	-0.015277614
20200410	-0.016096927	-0.022920784	-0.01687519
20200413	0.004048589	-0.074263071	0.025539022
20200414	0.021978907	0.010799241	0.03392367
20200415	-0.01493308	0.028588501	-0.018776855
20200416	0.005002512	-0.027514963	0.029622256
20200417	-0.005002512	0.050219757	0.003799878
20200420	-0.002008033	-0.022704794	0.003785493
20200421	-0.020305266	-0.015781495	0.003143668
20200422	0.018293193	0.025132213	0.001254705
20200423	-0.00201613	-0.011440582	-0.003768849
20200424	-0.016277063	-0.024352712	-0.003151594
20200427	0.008171649	-0.012945165	0.004409456
20200428	-0.010225038	-0.003262646	0.014972207
20200429	-0.014493007	0.011911348	0.022046208
20200430	0.039862201	0.060561301	-0.016488923
20200506	0.035436779	-0.035055136	-0.0230468
